Subfolder,File Name,ROI Index,NumOrganoids,Feret,MinFeret,Average Feret,Area,Equivalent Circle Diameter,Major,Minor,Circularity,Roundness,Solidity,MeetsCriteria
,Treat_Merge.tif,14,32,363.013584319,323.466165589,343.239874954,92455.2768,343.100152348,359.834753193,327.143816701,0.818374427643,0.909150141274,0.985519024751,True
,Treat_Merge.tif,15,32,194.472402155,131.783913208,163.128157682,18661.1008,154.142957954,190.993888374,124.402155949,0.702967993092,0.65134102985,0.95364316602,True
,Treat_Merge.tif,16,32,125.97673436,88.16,107.06836718,7197.4736,95.7293476929,116.183824156,78.8759371302,0.55933403678,0.678889145738,0.919800701236,True
,Treat_Merge.tif,17,32,159.715767537,104.088241665,131.902004601,12938.24,128.349050668,158.671232578,103.82145862,0.612159209067,0.65431809493,0.957715165249,True
,Treat_Merge.tif,18,32,440.674844301,335.68314303,388.178993666,93974.3648,345.907324951,411.512519985,290.76120809,0.356632565099,0.70656710056,0.84793524968,True
,Treat_Merge.tif,19,32,182.926490154,142.916894488,162.921692321,19027.2992,155.648031696,176.526577373,137.238880011,0.476740520379,0.777440326851,0.953582955812,True
,Treat_Merge.tif,20,32,207.48,144.388640834,175.934320417,22687.5504,169.960837673,197.065138928,146.584456792,0.520841891734,0.743837583802,0.922410351549,True
,Treat_Merge.tif,21,32,253.218040432,179.984519997,216.601280214,29755.064,194.641527278,227.928576294,166.215771435,0.505236769947,0.729244986028,0.929739387814,True
,Treat_Merge.tif,22,32,215.273270055,171.779152479,193.526211267,26589.816,183.997840255,204.748062526,165.350552287,0.637039939524,0.807580546779,0.928920950411,True
,Treat_Merge.tif,23,32,256.309366196,219.829240807,238.069303502,42476.1264,232.555980013,241.803948913,223.661706448,0.779123150265,0.924971273024,0.981809443069,True
,Treat_Merge.tif,24,32,199.996999977,168.550036264,184.273518121,24699.9088,177.338378913,189.880226045,165.624937839,0.548266153035,0.872260062511,0.964412169324,True
,Treat_Merge.tif,25,32,247.004676879,198.032149808,222.518413344,36855.5008,216.62382385,247.14559269,189.87140555,0.707881340364,0.768257299207,0.967146895438,True
,Treat_Merge.tif,26,32,389.898518079,267.971408923,328.934963501,76183.7072,311.44840451,384.285530213,252.416760574,0.611082356466,0.656846903484,0.947464451317,True
,Treat_Merge.tif,27,32,411.741178898,295.76445046,353.752814679,79105.208,317.363953561,348.77409262,288.782570584,0.386048249594,0.827993181531,0.863527312507,True
,Treat_Merge.tif,28,32,373.506560049,311.519142278,342.512851164,81653.5792,322.435367177,338.220866472,307.386611273,0.681615246848,0.90883396545,0.960011680379,True
,Treat_Merge.tif,29,32,129.701966061,121.452660737,125.577313399,12096.6768,124.10466253,126.977096328,121.297207977,0.807283026417,0.955268402608,0.981166549543,True
,Treat_Merge.tif,30,32,192.737558353,133.159729021,162.948643687,17187.6432,147.932373073,174.575026314,125.355770897,0.665243958597,0.718062448816,0.924589858315,True
,Treat_Merge.tif,31,32,118.80334002,102.644464439,110.72390223,9511.9168,110.049755184,117.75870892,102.845460239,0.893923105109,0.873357573142,0.986816874401,True
,Treat_Merge.tif,32,32,190.432707275,148.073920237,169.253313756,21048.3216,163.705697553,185.46037701,144.502862786,0.725876116159,0.779157602912,0.962837703943,True
,Untreat_Merge.tif,1,29,304.866116189,247.846506991,276.35631159,57632.3504,270.887038423,288.420451982,254.419501395,0.556302800039,0.882113246987,0.964640141536,True
